[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8]]
[[0, 1], [2, 3], [4, 9], [5, 6], [7, 8]]
[[0, 1], [2, 3], [4, 7], [5, 8], [6, 9]]
[[0, 1], [2, 3], [4, 9], [5, 8], [6, 7]]
[[0, 1], [2, 5], [3, 4], [6, 9], [7, 8]]
[[0, 1], [2, 5], [3, 6], [4, 9], [7, 8]]
[[0, 1], [2, 7], [3, 6], [4, 9], [5, 8]]
[[0, 1], [2, 9], [3, 6], [4, 7], [5, 8]]
[[0, 1], [2, 5], [3, 8], [4, 7], [6, 9]]
[[0, 1], [2, 5], [3, 8], [4, 9], [6, 7]]
[[0, 1], [2, 7], [3, 8], [4, 9], [5, 6]]
[[0, 1], [2, 9], [3, 8], [4, 7], [5, 6]]
[[0, 3], [1, 4], [2, 7], [5, 8], [6, 9]]
[[0, 3], [1, 8], [2, 5], [4, 7], [6, 9]]
[[0, 3], [1, 6], [2, 7], [4, 9], [5, 8]]
[[0, 5], [1, 6], [2, 7], [3, 8], [4, 9]]
