[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 11], [12, 13], [14, 15], [16, 17]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 11], [12, 13], [14, 17], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 11], [12, 17], [13, 14], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 11], [12, 15], [13, 16], [14, 17]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 11], [12, 17], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 13], [11, 12], [14, 17], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 17], [11, 12], [13, 14], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 13], [11, 14], [12, 17], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 17], [11, 12], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 15], [11, 14], [12, 17], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 17], [11, 14], [12, 15], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 13], [11, 16], [12, 15], [14, 17]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 13], [11, 16], [12, 17], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 17], [11, 16], [12, 13], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 15], [11, 16], [12, 17], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 17], [11, 16], [12, 15], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 11], [9, 10], [12, 13], [14, 17], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 11], [9, 10], [12, 17], [13, 14], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 11], [9, 10], [12, 15], [13, 16], [14, 17]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 11], [9, 10], [12, 17], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 17], [9, 10], [11, 12], [13, 14], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 11], [9, 12], [10, 17], [13, 14], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 17], [9, 10], [11, 12], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 13], [9, 10], [11, 14], [12, 17], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 17], [9, 10], [11, 14], [12, 13], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 13], [9, 12], [10, 17], [11, 14], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 17], [9, 10], [11, 14], [12, 15], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 11], [9, 14], [10, 13], [12, 17], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 13], [9, 10], [11, 16], [12, 17], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 11], [9, 14], [10, 17], [12, 13], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 17], [9, 10], [11, 16], [12, 13], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 13], [9, 14], [10, 17], [11, 12], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 17], [9, 10], [11, 16], [12, 15], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 11], [9, 12], [10, 15], [13, 16], [14, 17]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 11], [9, 12], [10, 17], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 17], [9, 12], [10, 11], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 15], [9, 12], [10, 17], [11, 14], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 17], [9, 12], [10, 15], [11, 14], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 11], [9, 14], [10, 15], [12, 17], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 13], [9, 12], [10, 17], [11, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 11], [9, 14], [10, 17], [12, 15], [13, 16]]
